Crop,Cost
Paddy,12000
Groundnut,15000
Maize,18000
Sugarcane,17000
Wheat,13000
Tomato,14000
Potato,16000
Brinjal,19000
Carrot,15000
Sunflower,14000
Sesame,12000
Coconut,20000
Mango,25000
Paddy,14000
Sugarcane,17000
Tomato,16000
Brinjal,18000
Carrot,17000
Potato,20000
Maize,22000
Wheat,12000
Pomegranate,25000
Sesame,15000
Peanuts,18000
Turmeric,17000
Castor,22000
Dragonfruit,30000
Papaya,16000
Garlic,19000
Barley,14000
Soybean,18000
Cotton,23000
Rice,12000
Chickpeas,15000
Beetroot,16000
Onion,15000
Spinach,12000
Pineapple,28000
Strawberry,35000
Corn,18000
Jowar,16000
Ginger,15000
Lime,17000
Millets,14000
Bajra,14000
Lentils,18000
Chili,17000